Litigation Title,Citation,Other Citations (Cases) That Might be Relevant,Court,Circuit,Year,State,Covered,Case Type,Practice Challenged,Governing Body,Suit Filed Subsequent to Shelby County,Practice Enacted Subsequent to Shelby County,Success,Intent,Violation,Considered Gingles Factors,G1c - large and compact,G1f,G2c - cohesive,G2f,G3c - maj block voting,G3f,Gall,Considered Senate Factors,1c - history,1f,2c - polarized,2f,3c - disc practices,3f,4c - slating,4f,5c - effects,5f,6c - racial appeals,6f,7c - minority officials,7f,8c - responsiveness,8f,9c - policy justification,9f,African American,Latino,Native American,Asian,Multi,White,Other
Muntaqim v. Coombe,449 F.3d 371,,2d Cir,2,2006,NY,N,Preliminary,Felon Disenfranchisement,State,N,N,N,,,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,,N
Hayden v. Pataki,449 F.3d 305,,2d Cir,2,2006,NY,N,Liability,Felon Disenfranchisement,State,N,N,N,,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,Y,,N
Cottier v. City of Martin,2005 WL 6949764,,D.S.D.,8,2005,SD,N,Liability,Reapportionment/Redistricting Plan (city ward lines),City,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,Y,N,N,,N
Diffenderfer v. Gomez-Colon,587 F.Supp.2d 338,,D.P.R.,1,2008,PR,N,Liability,Election Procedure (ballot language),State,N,N,Y,,Y,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,N,,Y (English speakers)
Ross v. Texas Educ. Agency,2009 WL 3254935,,S.D. Tex.,5,2009,TX,Y,Liability,Other (shift from election to appointment of official),State,N,N,N,N,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,N
"Reyes v. City of Farmers Branch, Texas",2008 WL 4791498,,N.D. Tex.,5,2008,TX,Y,Liability,At-Large Elections,City,N,N,N,N,N,Y,Y,N,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Y,N,N,N,N,N
Lowery v. Deal,850 F.Supp.2d 1326,,N.D. Ga.,11,2012,GA,Y,Liability,Other (creation of a municipality),State,N,N,N,N,N,Y,Y,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,N
Rios-Andino v. Orange County,51 F.Supp.3d 1215,,M.D. Fla.,11,2014,FL,N,Liability,Reapportionment/Redistricting Plan (county district lines),County,N,N,N,,N,Y,Y,N,N,,Y,N,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Y,N,N,N,N,N
Boddie v. Cleveland School Dist.,2010 WL 231749,,N.D. Miss.,5,2010,MS,Y,Liability,Reapportionment/Redistricting Plan (school district),School,N,N,Y,,,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,N
Brown v. Detzner,895 F.Supp.2d 1236,,M.D. Fla.,11,2012,FL,N,Preliminary,Election Procedure (early voting days),State,N,N,N,N,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,,N
Garcia v. 2011 Legislative Reapportionment Com'n,938 F.Supp.2d 542,,E.D. Pa.,3,2013,PA,N,Liability,Reapportionment/Redistrcting Plan (district lines),State,N,N,N,N,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Y,N,N,N,N,
