Litigation Title,Citation,Other Citations (Cases) That Might be Relevant,Court,Circuit,Year,State,Covered,Case Type,Practice Challenged,Governing Body,Suit Filed Subsequent to Shelby County,Practice Enacted Subsequent to Shelby County,Success,Intent,Violation,Considered Gingles Factors,G1c - large and compact,G1f,G2c - cohesive,G2f,G3c - maj block voting,G3f,Gall,Considered Senate Factors,1c - history,1f,2c - polarized,2f,3c - disc practices,3f,4c - slating,4f,5c - effects,5f,6c - racial appeals,6f,7c - minority officials,7f,8c - responsiveness,8f,9c - policy justification,9f,African American,Latino,Native American,Asian,Multi,White,Other
US v. Euclid City School Board,632 F.Supp.2d 740,,N.D. Ohio,6,2009,OH,N,Remedy,At-large Elections,City,N,N,N,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N
Nelson v. Dean,528 F. Supp. 2d 1271,,N.D. Fla.,11,2007,FL,N,Liability,Other (refusal to seat delegates at nominating convetion),State,N,N,N,,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,N
Gonzalez v. Arizona,677 F.3d 383,,9th Cir.,9,2012,AZ,Y,Liability,Election Procedure (voter registration),State,N,N,N,,N,N,N,,N,,N,,N,Y,Y,Y,Y,Y,N,,N,,Y,Y,N,,Y,,N,,N,,N,Y,Y,N,N,N,N
Prescod v. Bucks County,2009 WL 3617751,,E.D. Pa.,3,2009,PA,N,Liability,Election Procedure (poll location),County,N,N,N,,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,Y,N,N
North Carolina State Conference of NAACP v. McCrory,831 F.3d 204,,4th Cir.,4,2016,NC,N,Liability,Election Procedure,State,Y,Y,Y,Y,Y,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,Y,N,N,N,N,N
Patino v. City of Pasadena,230 F.Supp.3d 667,,S.D. Tex.,5,2017,TX,Y,Liability,At-large Elections,City,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,N,Y,N,N,N,N,N
"One Wisconsin Institute, Inc. v. Thomsen",198 F.Supp.3d 896,,W.D. Wis.,7,2016,WI,,Liability,Election Procedure,State,N,N,Y,Y,Y,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,Y,N,N,N,N,N
Favors v. Cumo,881 F. Supp. 2d 356,,E.D.N.Y.,2,2012,NY,N,Preliminary,Reapportionment/Redistricting Plan,State,N,N,N,,,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,Y,N,N,N
"Gonzalez v. City of Aurora, Illinois",535 F.3d 594,,7th Cir.,7,2008,IL,N,Liability,Reapportionment/Redistricting Plan,City,N,N,N,,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Y,N,N,N,N,N
"Fairley v. Hattiesburg, Miss.",584 F.3d 660,,5th Cir.,5,2009,MS,Y,Liability,Reapportionment/Redistricting Plan,City,N,N,N,,N,Y,Y,N,N,,N,,N,Y,Y,N,Y,Y,Y,N,N,,Y,N,N,,Y,N,Y,N,N,,Y,N,N,N,N,N,N
